"time","event","a","z","survival","weight"
0.96,0,0.932327345606034,0.666869635003698,0.26197704717399,0
0.26,0,0.738468558729588,0.993868363411645,0.642084848469929,0
0.44,1,0.444661516741707,0.814340892425796,0.517399432541309,1.93274274594447
0.2,1,0.0906716244643097,0.219783612225117,0.826285598580295,1.21023530086713
0.44,0,-0.275590246824513,-0.486786648655699,0.764760094126198,0
1.72,1,-0.604552271057929,-0.945265512188063,0.424801872783431,2.35403858614769
1.04,1,-0.851690981486566,-0.921988677548217,0.530944741824539,1.88343516985138
0.3,0,-0.983557313034006,-0.428819211333396,0.780237940057962,0
0.23,1,-0.982303776338232,0.282898478509493,0.687789216430446,1.45393381592968
0.38,0,-0.848100031710408,0.850436620628564,0.378979811215752,0
0.12,0,-0.599109926407685,0.984548722508671,0.751210256438973,0
0.85,1,-0.2690331031174,0.616884391121045,0.179065221269776,5.58455736356207
0.41,1,0.0974560885884857,-0.0651758075696639,0.717599744872842,1.3935344976707
0.13,1,0.450755055891099,-0.714019078027181,0.95215115498201,1.05025341277761
2.22,1,0.74304644096641,-0.998961671893817,0.469201233085111,2.13128169639445
1.03,1,0.934769976045349,-0.774782255610634,0.668384016705125,1.49614589069561
0.37,0,0.999976780070743,-0.155734136650312,0.817535047755689,0
0.31,1,0.929841418016701,0.542684071204453,0.717687447909082,1.39336420458991
0.1,1,0.733856382117381,0.964522693494029,0.841856948677865,1.18785026549997
0.13,0,0.43854732757439,0.894791172140504,0.818926615698794,0
1.2,1,0.0838829495627223,0.369028260352503,0.194352815991755,5.14528176449176
0.75,1,-0.282134592159557,-0.344810345427416,0.515666099658469,1.93923936567153
0.26,0,-0.609966540386242,-0.88291594650491,0.874627106410382,0
0.13,1,-0.855242378854045,-0.971042380087687,0.941852587158856,1.0617372756989
0.67,0,-0.984765173467324,-0.564275903961855,0.579192990595,0
0.1,0,-0.981004621594066,0.130074461102914,0.864775186179074,0
0.73,0,-0.844469696288772,0.758132221587245,0.146011497834587,0
0.26,0,-0.593639759177225,0.999806989136414,0.503407647610775,0
0.07,0,-0.262463465551041,0.73192892959266,0.907458207559129,0
1.46,0,0.104236026865697,0.0910224161998479,0.219994324483345,0
0.97,1,0.456827662039472,-0.596273780409245,0.577149619968526,1.73265296450257
0.25,0,0.747589816231644,-0.979678332100598,0.928911082464775,0
0.23,1,0.937169195899233,-0.86378865081732,0.928722711863724,1.07674765269091
0.04,1,0.999907121361303,-0.307668051149558,0.987297879757348,1.01286553987716
0.08,0,0.927312308723476,0.405255938545354,0.946503246169893,0
0.85,1,0.72921012531862,0.911640754754046,0.200351352788606,4.99123158432135
0.31,0,0.432412772331231,0.953406770608792,0.572653623863465,0
0.04,0,0.0770903791488241,0.509267886205874,0.96547915248878,0
0.03,1,-0.288665835204057,-0.194419985134997,0.983078372371911,1.01721289787635
0.62,0,-0.615352482954721,-0.799021478659614,0.734383687200213,0
0.04,0,-0.858754058886456,-0.996400720506787,0.987248232155744,0
0.69,1,-0.985927301545316,-0.685963144139672,0.588512976384178,1.69919787689984
0.3,1,-0.979659909134073,-0.0259236314229894,0.70329520596007,1.42187802721461
0,0,-0.840800143813921,0.6473278910352,1,0
0.47,0,-0.58814202340034,0.990667980069634,0.316998085617219,0
0.21,0,-0.255881639218479,0.829112948905978,0.653695506120285,0
0.49,1,0.111011124436569,0.244999512285173,0.59918005813658,1.66894739973481
0.19,1,0.462879053175851,-0.463978218622196,0.910979145795203,1.09771996934912
0.86,0,0.752098473531586,-0.93648889581084,0.7266736151691,0
1.19,1,0.939524893748256,-0.931716887854706,0.670458814142986,1.49151592745969
0.66,1,0.999791027106619,-0.452094254312667,0.745400330008948,1.34156098373071
0.37,1,0.924740135177835,0.257938756332727,0.743824743738614,1.3444027083232
0.15,1,0.724530004104813,0.8365129714963,0.808933496113929,1.23619556465883
0.56,0,0.426258135900103,0.98875735084425,0.376305475804488,0
0.2,0,0.0702942286686256,0.637080364462622,0.758638062040966,0
0.86,1,-0.295183672648013,-0.039285391176074,0.375408747271397,2.66376318417819
0.5,1,-0.620709848640954,-0.695629300243658,0.750967381304714,1.33161575974528
0.2,1,-0.862225858501875,-0.997444904949218,0.913835618484338,1.09428870988698
2.63,0,-0.987043643298919,-0.790911521591281,0.203776993246549,0
0.64,0,-0.978269701406507,-0.181289135869695,0.517148753889534,0
0.13,0,-0.837091544699354,0.520727474644651,0.803916773107826,0
0.46,1,-0.5826169743911,0.957354705275453,0.328238019352721,3.04656968736278
0.14,1,-0.249287929778795,0.90606496602672,0.744971370154046,1.34233346416147
0.17,0,0.117781066666528,0.392998133813722,0.817434449079441,0
1.11,1,0.468908948274497,-0.320360667052139,0.452407082224406,2.21039864160211
0.59,1,0.756572203484829,-0.870447271024491,0.830426737533218,1.2042001477102
0.29,1,0.941836960194143,-0.976909382864654,0.920899706616518,1.08589457984964
0.08,1,0.999628502698094,-0.585488460018037,0.977587727539707,1.02292609842464
0.86,0,0.922125016831153,0.104327356317131,0.473446133141294,0
0.13,0,0.719816235820126,0.74097261080172,0.8525944957928,0
0.6,1,0.420083704101455,0.999980288499044,0.347753495391326,2.87560013990572
0.33,1,0.063494813734395,0.749346816876132,0.580657110141354,1.7221867820693
0.09,1,-0.301687801803976,0.116807844330365,0.897192406660897,1.11458812243154
1.77,0,-0.626038388649638,-0.575262385699987,0.304281716765166,0
0.81,0,-0.865657616470417,-0.974149453241314,0.617753098125708,0
0.14,0,-0.988114146885381,-0.876560087527367,0.923789928167141,0
0.39,1,-0.976834062972421,-0.33223082544383,0.688811457779511,1.45177608285387
0.07,1,-0.833344071171888,0.381420273946065,0.917460788684917,1.08996483809776
0.04,0,-0.577064868732004,0.900680074803786,0.940742459661858,0
0.66,0,-0.24268264344292,0.96090719894562,0.221967041151526,0
0.37,0,0.124545539160414,0.531406820562591,0.614507264265513,0
0.08,0,0.474917067307926,-0.168925679116193,0.962108199165001,0
0.03,1,0.761010798331988,-0.783165004514806,0.992757007849019,1.00729583583265
1.25,0,0.944105287864855,-0.998263349237286,0.686103158566627,0
