x,y
0.0,0.0
1.0863960480161965,0.9658817694866271
1.5171676882523255,1.2191689586188512
1.8332060419692096,2.004422351778875
1.5990441079476125,2.2668215775018545
1.730760742225564,2.4184764324727035
1.699409857219175,2.5355033629428854
1.4956504211372534,2.2739794892692573
1.477730340284907,2.3211125359927203
1.6010226629843778,2.2081579443441526
1.4449319496045407,2.051233276740537
1.5800083249714023,2.0627217395254074
1.9555192835881128,2.6519054471008308
1.104417093693753,1.6267913776441243
1.3980738144637108,1.6864997560525712
1.612640275160137,2.0264285533940223
2.1745157988268167,2.257370145202712
1.7754050677489772,2.8821615218987224
1.8718377761500526,2.9171330473484636
1.6202335175381553,2.180711193237027
1.6899595930709475,2.3005808337235636
1.3691458236672356,1.9378858279837061
1.5296474095350876,1.8035081949012197
1.5872914718509807,2.0367288846136598
1.643813148004264,2.0424607313312357
1.8059622771481614,2.5081956982399127
1.8025969870009055,2.3113581831730134
1.9039518657467225,2.3630853929924496
1.9813709008706852,2.3005554728863435
2.0211651611304693,2.56007748558063
1.496278841868584,2.248959064106612
1.6120371064403196,2.3211033413526434
1.3992678113408834,1.8631958768236414
1.6096032577481236,1.9416328146155566
1.7027177060318057,2.352598682149637
1.2688902408249851,2.1281195387817124
1.8137178382139272,2.2592805450479867
1.5227834894761785,2.383649671952216
1.6724750248425067,2.586528121060253
1.5826860824241828,2.0306897497965015
1.6055717417918605,2.027788055899745
1.8360596522286377,2.3475439966042075
1.3267115527826798,1.80367931522418
1.7516318802598858,2.2979232281484716
1.5405919106268322,2.227113752371198
1.7276301526947795,2.439999067033764
1.9101126101064994,2.621199767396822
1.740337959300475,2.4641244390117825
1.9600708838535028,2.0413982694337083
1.749364522268567,2.253504326300866
1.34340856868988,2.1503415645178605
1.3745431743651035,2.2529622033934396
1.5184192487374597,2.3566628860103043
1.9120786007877897,2.612518859234973
1.5459011544594046,2.00981057981291
2.056706491162855,2.4167767854235733
1.6505413595565617,2.399831616416586
1.6123637112019626,2.541605972102839
1.6534275300900603,2.4316396530190665
1.4827260817777832,2.3711201084408544
1.3346237521223676,2.2862690406470763
1.9148338790964803,2.1023467261662865
1.1493762438007626,2.009956422532257
2.096724951391087,2.222454465021916
1.5260160408559376,2.3266806945552325
1.400226018827798,2.0169921894728904
1.4730610408601748,2.172639344911517
1.4878988259957904,2.1973195606728515
