t,y,m
2.9998354678106565,5.0210160240503585,1.0868861047327103
1.9633308359666308,5.988510276139265,1.3412910248798129
4.161330442722212,10.439127381082685,1.8619169943957639
1.7615629590704254,3.3724345266466806,0.9578176065755304
0.43669138951377573,-3.2761147727048123,-0.2701311165979545
3.282490126576148,7.851746116099745,1.5734834998409102
3.505780387640486,6.526185714328371,1.0717434812901234
4.155111974856959,6.94624307126188,1.3518783327013622
2.60274265506756,6.56584912033717,1.3571364345430983
2.0741889479366487,3.010007882924737,0.5693804241413901
2.3144329453502017,4.1423453316474195,1.1390326654771625
3.701596157709498,2.254960185916465,0.47345655072866766
2.485230680155809,6.0766572722175916,1.2427872776619506
1.9492662820916016,4.5801360277853576,1.1143743577471412
4.621719248366774,10.332637243435823,1.908324774521769
3.3095637529097846,5.470422082336791,1.0974745513544955
1.7668251264812258,4.772233759717243,1.351148822130484
1.6619699946083855,5.763857296216551,1.3864628749216021
-0.15906069194757078,-1.6927025914177527,0.11507433107648492
2.3688990471827056,6.451102971508589,1.4984527209632843
3.4629579151953096,11.466216784625754,2.182185194543764
3.792518325791386,4.823776643373191,0.732852069039075
4.219913944395974,4.143401370653334,0.7010278599900748
2.936696467586818,6.765404791632163,1.0826674723717071
2.493864486175971,4.981380913187738,1.2735277803678193
3.6497823167272947,8.498245887897152,1.5201097897926905
2.1310873563009323,6.218241000307091,1.3732772190571698
2.592763551627165,7.746393915313884,1.7698542078022395
1.5526327119929486,1.203725402908015,0.54654368297706
3.8913020666196676,11.704680059375901,2.186814149067029
2.5287211722663576,7.5216298163502655,1.575833621681245
3.416402915168408,7.846875188087975,1.442802061295785
2.962520540667358,7.181079695897739,1.471371483083432
4.046921453108102,14.046877104053133,2.6240846794257684
2.386131440100331,4.773798236055644,0.9478997771572902
2.8563493075308335,8.68704838358061,2.061190361837067
1.9980399231126182,3.9872964113603993,0.9983836664537793
2.8964215975998195,5.805991191881365,1.2996336720165635
5.6076203063592,12.20999778492952,1.9659336371702425
2.7430339366711523,-1.803190283996976,-0.26682909580663927
3.424288375820421,8.167148469460983,1.3363652549040002
4.601702764177133,5.629360929712353,0.9899744334468971
2.9706949343718314,6.988493854428405,1.7341717256837663
3.3649075791384795,8.780299937117046,1.687537969706545
3.77318003856837,7.444465328893227,1.4346122099843708
3.8678122424181063,9.078172704779753,1.502884206040976
3.9015631961310513,15.14149065276188,2.933287889808928
3.7817518270307797,9.161529871057976,1.5788835892576734
3.541544786024925,2.7322427565238048,0.6529552330781481
3.133363341918395,3.579978960563106,0.7400212129095061
4.639659055509307,13.75951612155693,2.5924009833620167
2.4308529099928964,7.57251709080427,1.3553598565868008
2.8899448598022706,7.270825118524743,1.649992690730512
1.7313451825380948,0.9486543268842215,0.6444078270919575
3.6045775477188466,10.84391766777877,2.1908785385314724
4.879917511238249,14.436350081148136,2.6780850094461535
2.765257810386954,5.136545093312849,1.1636957804599226
4.292496395576515,4.073798789676163,0.568635952826074
1.5554684833458121,1.7439971768278166,0.7807047869203021
3.4067127087912463,7.664449602664204,1.4021576288620554
3.458882567885416,11.390128717081485,2.129293408142941
2.7681327288729864,-0.36721838253615335,0.16925513806655357
1.5717012979556806,-1.9056077459914416,0.012713157747495596
2.7934872555885826,4.032787676971856,0.8216340139678606
4.813401365003925,13.245784874410298,2.190851620461278
2.172206743188855,3.294774486326172,0.5911849615068634
1.0548515188755312,3.3783724234043317,0.9256459338649483
3.4102360261689078,6.6535810326664615,1.4470841266324828
1.116581562515587,2.69327345549006,0.907997680116691
1.7121611436500972,-1.3660911545543448,-0.08101901878880147
2.0024660310825495,-2.911025316912283,-0.3790617938747084
1.3873152798899442,3.8070392982671075,0.9172808361574057
0.33243161833390816,-1.066904039697564,0.2784847697431231
4.153762158232071,10.916412252143456,1.9946231841139812
